Item,SKU,UPC,Unit Cost,Case Size
Colgate/Max Clean/Smart Foam Effervescent Mint/24/6/oz,35000-99670,035000996701,2.0829,24
Colgate//Cavity Protection Great Regular Flavor/24/4/oz,35000-44435,035000444356,0.9258,24
Colgate//Great Regular Cavity Protection 5pk/8/8/oz,35000-51098,035000510983,9.7313,8
Hello/Mouthwash/Natural Mint/6/16/oz,19156-02343,819156023432,1.98,6
"Colgate/Toothpaste Mixed Case/12 Total Whitening 3.3oz, Max Fresh 8 Clean Mint 6.3oz, 10 Cool Mint/30/1/ct",27854-00757,035000460462996718996671,1.8,30
Colgate/Total/Whitening Paste/24/6/oz,35000-99115,035000991157,2.735,24
Colgate/Toothpaste Mixed Display/Optic White Advanced 18 Sparkling White 3.2oz + 18 Icy Fresh 3.2oz/36/1/ct,35000-97484,035000971623971593,3.135,36
Colgate/Total/Clean Mint/24/6/oz,35000-99182,035000991829,2.735,24
Colgate/Toothpaste/Baking Soda & Peroxide Whitening Brisk Mint Paste 2pk/12/6/oz,35000-51120,035000511201,2.63,12
Crest/Cavity Protection/Regular Paste 4pk/10/8.2/oz,37000-25396,037000247081037000003106,6.24,10
Colgate/Optic White/Stain Fighter Sensitivity Relief Clean Mint/24/6/oz,27854-00599,827854005995,2.6196,24
Colgate/Toothpaste/Optic White Clean Mint Paste 4pk/8/4.2/oz,27854-01775,827854017752035000458360,10.5088,8
Colgate/Toothpaste/Kids Batman Bubble Fruit/12/4.6/oz,35000-46681,035000466815,0.98,12
Colgate/Toothpaste/Anticavity/24/1/oz,35000-51111,035000511119,0.45,24
